Date,Rain,Temp Max
30-06-2001,0.456973046,29.69000053
1/7/2001,0,28.96999931
2/7/2001,0,30.39999962
3/7/2001,9.022431374,30.14999962
4/7/2001,0.685459554,29.95999908
5/7/2001,1.741903305,29.18000031
6/7/2001,0,28.37999916
7/7/2001,0,29.37999916
8/7/2001,0.959643424,29.34000015
9/7/2001,0,29.21999931
10/7/2001,0.684728384,29.62999916
11/7/2001,0,29.73999977
12/7/2001,0,28.62999916
13-07-2001,0.489091724,29.38999939
14-07-2001,10.10144234,30.32999992
15-07-2001,6.41634798,30.82999992
16-07-2001,9.180321693,29.84000015
17-07-2001,4.02737999,27.82999992
18-07-2001,0,27.21999931
19-07-2001,0,29.05999947
20-07-2001,0,29.10000038
21-07-2001,0,30.20000076
22-07-2001,0,30.96999931
23-07-2001,0,30.96999931
24-07-2001,0,30.67000008
25-07-2001,9.69852829,31.13999939
26-07-2001,0,30.86000061
27-07-2001,0.586910069,28.84000015
28-07-2001,29.94602013,29.12999916
29-07-2001,0,29.19000053
30-07-2001,3.728046894,27.93000031
31-07-2001,38.624897,29.42000008
1/8/2001,24.74360085,28.43000031
2/8/2001,0,27.05999947
3/8/2001,21.17729568,27.13999939
4/8/2001,9.779663086,24.5
5/8/2001,0,27.32999992
6/8/2001,2.507946491,27.37999916
7/8/2001,0,27.62999916
8/8/2001,1.096735358,27.25
9/8/2001,10.12184238,27.72999954
10/8/2001,0,28.95000076
11/8/2001,3.975665331,28.71999931
12/8/2001,0,28.47999954
13-08-2001,0,28.95000076
14-08-2001,3.958848,28.63999939
15-08-2001,0,26.82999992
16-08-2001,2.102076054,28.12999916
17-08-2001,0.586910069,28.62000084
18-08-2001,0.456973046,27.54999924
19-08-2001,2.749863386,28.52000046
20-08-2001,0.685459554,27.54000092
21-08-2001,1.051038027,28.69000053
22-08-2001,0,29.26000023
23-08-2001,0,29.59000015
24-08-2001,2.983459473,29.46999931
25-08-2001,0.685459554,29.98999977
26-08-2001,0,30
27-08-2001,0,29.67000008
28-08-2001,0,29.07999992
29-08-2001,0,29.17000008
30-08-2001,0,28.60000038
31-08-2001,0.538000882,29.69000053
1/9/2001,0,29.80999947
2/9/2001,0,30.15999985
3/9/2001,2.054185152,30.09000015
4/9/2001,0,31.23999977
5/9/2001,0,31.44000053
6/9/2001,0,31.07999992
7/9/2001,0,31.28000069
8/9/2001,0.731156945,31.12000084
9/9/2001,14.40119648,30.05999947
10/9/2001,0,29.82999992
11/9/2001,0,31.29999924
12/9/2001,0,29.55999947
13-09-2001,0,29.31999969
14-09-2001,0,31.54000092
15-09-2001,47.87613678,31.37000084
16-09-2001,0,29.35000038
17-09-2001,11.48439884,30.62000084
18-09-2001,8.827397346,30.39999962
19-09-2001,9.312152863,28.97999954
20-09-2001,34.31573486,30.45999908
21-09-2001,18.14310837,29.05999947
22-09-2001,42.8580246,29.54000092
23-09-2001,3.721702099,29.20000076
24-09-2001,49.76296616,29.10000038
25-09-2001,0.456973046,28.70999908
26-09-2001,4.583105564,28.13999939
27-09-2001,21.24099922,28.75
28-09-2001,10.27867699,25.92000008
29-09-2001,1.051038027,26.69000053
30-09-2001,0,28.02000046
1/10/2001,3.360867023,28.14999962
2/10/2001,0.489091724,28.45999908
3/10/2001,0,28.5
4/10/2001,0,28.69000053
5/10/2001,0,27.87000084
6/10/2001,49.98630524,27.62999916
7/10/2001,10.76013756,24.79000092
8/10/2001,2.749863386,26.89999962
9/10/2001,0.754338861,28.30999947
10/10/2001,2.284865379,28.62999916
11/10/2001,28.48583984,28.84000015
12/10/2001,39.38034058,29.13999939
13-10-2001,8.036010742,27.01000023
14-10-2001,40.92362976,27.17000008
15-10-2001,2.940335512,27.18000031
16-10-2001,19.19917679,26.97999954
17-10-2001,32.88465881,23.68000031
18-10-2001,4.583105564,22.89999962
19-10-2001,0,27.29999924
20-10-2001,0.720790088,28.90999985
21-10-2001,0,29.23999977
22-10-2001,0,29
23-10-2001,0,28.52000046
24-10-2001,0,26.20999908
25-10-2001,12.17048836,28.5
26-10-2001,14.64016342,28.14999962
27-10-2001,0,28.09000015
28-10-2001,0,28.5
29-10-2001,0,28.95000076
30-10-2001,0,29.70000076
31-10-2001,0.684728384,29.79000092
1/11/2001,0,29.17000008
2/11/2001,0,28.98999977
3/11/2001,0.456973046,27.69000053
4/11/2001,0,28.11000061
5/11/2001,0,29.17000008
6/11/2001,7.55938673,28.82999992
7/11/2001,10.08043575,27.88999939
8/11/2001,7.945185184,27
9/11/2001,0,26.26000023
10/11/2001,0,27.90999985
11/11/2001,0,28.22999954
12/11/2001,0,28.60000038
13-11-2001,0,28.68000031
14-11-2001,0,28.09000015
15-11-2001,0.182789236,28.77000046
16-11-2001,0,29.64999962
17-11-2001,0,28.42000008
18-11-2001,0,28.54999924
19-11-2001,0,27.51000023
20-11-2001,0,28.69000053
21-11-2001,0,28.70999908
22-11-2001,0,27.53000069
23-11-2001,0,27.10000038
24-11-2001,0,27.86000061
25-11-2001,0,27.35000038
26-11-2001,0,27.34000015
27-11-2001,0,27.73999977
28-11-2001,0,28.12000084
29-11-2001,0,28.17000008
30-11-2001,0,27.62999916
1/12/2001,0,26.54000092
2/12/2001,0,26.63999939
3/12/2001,0,27.68000031
4/12/2001,0,27.87000084
5/12/2001,0,28.40999985
6/12/2001,0,28.76000023
7/12/2001,0,28.25
8/12/2001,0,27.81999969
9/12/2001,0,27.38999939
10/12/2001,0,27.65999985
11/12/2001,0,27.27000046
12/12/2001,0,27.23999977
13-12-2001,0,27.17000008
14-12-2001,0,27.69000053
15-12-2001,0,26.82999992
16-12-2001,0,26.73999977
17-12-2001,0,26.67000008
18-12-2001,0,27.09000015
19-12-2001,0,27.09000015
